run_date,ran_on,status,row_count,fingerprint,captured_at_ist,detail
2026-09-04,2026-09-04,ok,24,c1fa88ef6e528ae3,"2026-09-04 22:14:08",""
2026-09-06,2026-09-06,skipped_weekend,,,"","not a weekday in IST"
2026-09-04,2026-09-04,ok,24,c1fa88ef6e528ae3,"2026-09-04 22:48:13",""
2026-09-06,2026-09-06,skipped_weekend,,,"","not a weekday in IST"
2026-09-05,2026-09-05,skipped_weekend,,,"","not a weekday in IST"
2026-09-05,2026-09-05,skipped_weekend,,,"","not a weekday in IST"
2026-09-04,2026-09-05,skipped_no_new_session,,,"","latest NSE session is still 2026-09-04, already recorded (today is 2026-09-05)"
2026-09-04,2026-09-05,ok,24,c1fa88ef6e528ae3,"2026-09-05 00:53:54","captured on 2026-09-05"
2026-09-04,2026-09-05,skipped_no_new_session,,,"","latest NSE session is still 2026-09-04, already recorded (today is 2026-09-05)"
2026-09-04,2026-09-05,skipped_no_new_session,,,"","latest NSE session is still 2026-09-04, already recorded (today is 2026-09-05)"
2026-09-04,2026-09-06,skipped_no_new_session,,,"","latest NSE session is still 2026-09-04, already recorded (today is 2026-09-06)"
2026-09-07,2026-09-07,ok,33,b14d6f6949de6528,"2026-09-07 23:09:56",""
2026-09-07,2026-09-07,ok,33,b14d6f6949de6528,"2026-09-07 23:09:57",""
2026-09-07,2026-09-07,ok,33,b14d6f6949de6528,"2026-09-07 23:13:28",""
2026-09-08,2026-09-08,ok,27,5be0aeab63e1857c,"2026-09-08 20:14:37",""
2026-09-08,2026-09-08,skipped_no_new_session,,,"","latest NSE session is still 2026-09-08, already recorded (today is 2026-09-08)"
2026-09-09,2026-09-09,ok,27,94469a1dd00931ad,"2026-09-09 20:16:35",""
2026-09-09,2026-09-09,skipped_no_new_session,,,"","latest NSE session is still 2026-09-09, already recorded (today is 2026-09-09)"
2026-09-10,2026-09-10,ok,24,54a76ce211bf2caa,"2026-09-10 20:06:25",""
2026-09-10,2026-09-10,skipped_no_new_session,,,"","latest NSE session is still 2026-09-10, already recorded (today is 2026-09-10)"
2026-09-11,2026-09-11,ok,18,b252119fae85f3e8,"2026-09-11 20:05:11",""
